"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"Interact","Interact","Interagisci","Wchodź w interakcje","Interactuar","Interagiere","Interaja","Interagis","やり取りする","Взаимодействуй","Etkileşimde bulun","تفاعل","Interaguj","โต้ตอบ","Bertindak","Interactie","Tương tác","상호 작용하라","互动","互動","Sąveikauk","Взаємодій","Interaktē","बातचीत करें","Αλληλεπίδρασε","Interaja"
"LobbyDetails","Lobby Details","Dettagli della Lobby","Szczegóły Lobby","Detalles del Lobby","Lobby-Details","Detalhes do Lobby","Détails du Lobby","ロビーの詳細","Лобби Детали","Lobi Detayları","تفاصيل الردهة","Podrobnosti Lobby","รายละเอียดล็อบบี้","Rincian Lobi","Lobbygegevens","Chi Tiết Phòng Chờ","로비 세부사항","大厅详情","大廳詳情","Lobio Informacija","Лобі Деталі","Lobija Detaļas","लॉबी विवरण","Λεπτομέρειες Λόμπι","Detalhes do Lobby"
"Map","Map","Mappa","Mapa","Mapa","Karte","Mapa","Carte","地図","Карта","Harita","خريطة","Mapa","แผนที่","Peta","Kaart","Bản đồ","지도","地图","地圖","Žemėlapis","Мапа","Karte","नक्शा","Χάρτης","Mapa"
"Move","Move","Muoviti","Poruszanie","Muévete","Bewegen","Mover-se","Déplace-toi","動け","Перемещение","Hareket","تحرك","Pohyb","การเคลื่อนไหว","Bergerak","Bewegen","Di chuyển","이동","移动","移動","Judėti","Рухатися","Kustība","चाल","Κίνηση","Mover-se"
"MustBeBehindTarget","(Must be behind target)","(Devi essere dietro al bersaglio)","(Musisz być za celem)","(Debe estar detrás del objetivo)","(Muss hinter dem Ziel sein)","(Deve estar atrás do alvo)","(Doit être derrière la cible)","(ターゲットの後ろにいなければならない)","(Должен быть за целью)","(Hedefin arkasında olmalı)","(يجب أن تكون خلف الهدف)","(Musí být za cílem)","(ต้องอยู่ด้านหลังเป้าหมาย)","(Harus berada di belakang target)","(Moet achter het doelwit zijn)","(Phải đứng sau mục tiêu)","(목표 뒤에 있어야 함)","(必须在目标后面)","(必須在目標後面)","(Privalo būti už taikinio)","(Має бути за ціллю)","(Jābūt aiz mērķa)","(लक्ष्य के पीछे होना चाहिए)","(Πρέπει να είσαι πίσω από τον στόχο)","(Deve estar atrás do alvo)"
"PushToTalk","Push to Talk","Premi per Parlare","Naciśnij, aby mówić","Pulsar para hablar","Drücken, um zu sprechen","Pressionar para falar","Appuyez pour parler","話すために押す","Нажми, чтобы говорить","Konuşmak için Bas","اضغط للتحدث","Stiskni pro mluvení","กดเพื่อพูด","Tekan untuk Berbicara","Druk om te praten","Nhấn để nói","말하기 위해 누르세요","按下说话","按下講話","Paspauskite, kad kalbėtumėte","Натисни, щоб говорити","Nospied, lai runātu","बात करने के लिए दबाएं","Πατήστε για να μιλήσετε","Pressione para falar"
"TraitorAssassinate","(Traitor) Assassinate","(Traditore) Assassinare","(Zdrajca) Zamorduj","(Traidor) Asesinar","(Verräter) Ermorden","(Traidor) Assassinar","(Traître) Assassiner","(裏切り者) 暗殺する","(Предатель) Убить","(Hain) Suikast","(خائن) اغتيال","(Zrádce) Zavraždit","(ผู้ทรยศ) ลอบสังหาร","(Pengkhianat) Membunuh","(Verrader) Vermoorden","(Kẻ Phản Bội) Ám sát","(배신자) 암살","(叛徒) 暗杀","(叛徒) 暗殺","(Išdavikas) Nužudyti","(Зрадник) Вбивство","(Nodevējs) Nogalināt","(गद्दार) हत्या","(Προδότης) Δολοφονία","(Traidor) Assassinar"
"DevelopersNote","Developer's note","Nota dello sviluppatore","Notatka twórcy","Nota del desarrollador","Entwicklerhinweis","Nota do desenvolvedor","Note du développeur","開発者の注記","Разработчика примечание","Geliştirici notu","ملاحظة المطور","Poznámka vývojáře","บันทึกของผู้พัฒนา","Catatan pengembang","Ontwikkelaarsnota","Ghi chú của nhà phát triển","개발자 노트","开发者备注","開發者備註","Kūrėjo pastaba","Примітка розробника","Izstrādātāja piezīme","डेवलपर्स नोट","Σημείωση του προγραμματιστή","Nota do desenvolvedor"
"Bridge","Bridge","Ponte","Most","Puente","Brücke","Ponte","Pont","橋","Мост","Köprü","جسر","Most","สะพาน","Jembatan","Brug","Cầu","다리","桥","橋","Tiltas","Міст","Tilts","पुल","Γέφυρα","Ponte"
"InnocentsWin","Innocents Win","Gli innocenti vincono","Niewinni wygrywają","Los inocentes ganan","Unschuldige gewinnen","Inocentes ganham","Les innocents gagnent","無実者が勝つ","Невиновные выигрывают","Masumlar Kazanır","الأبرياء يفوزون","Nevinní vyhrávají","ผู้บริสุทธิ์ชนะ","Orang tak bersalah menang","Onschuldigen winnen","Người vô tội thắng","무고한 이들이 이김","无辜者赢","無辜者贏","Nekaltie laimėjo","Невинні перемагають","Nevainīgie uzvar","मासूम जीते","Οι Αθώοι Κερδίζουν","Inocentes vencem"
"LeaveParty","Leave Party","Lascia la festa","Opuść Grupę","Dejar la fiesta","Party verlassen","Deixar a festa","Quitter la fête","パーティーを去る","Покинуть вечеринку","Partiden Ayrıl","ترك الحفلة","Opustit párty","ออกจากปาร์ตี้","Tinggalkan Pesta","Feest verlaten","Rời bữa tiệc","파티 탈퇴","离开派对","離開派對","Palikti šventę","Залишити вечірку","Atstāt ballīti","छोड़ दो पार्टी","Αφήστε το Πάρτι","Deixar a festa"
"Options","Options","Opzioni","Opcje","Opciones","Optionen","Opções","Options","オプション","Настройки","Seçenekler","خيارات","Nastavení","ตัวเลือก","Pilihan","Opties","Tùy chọn","옵션","选项","選項","Pasirinkimai","Опції","Iespējas","विकल्प","Επιλογές","Opções"
"Quit","Quit","Esci","Wyjdź","Salir","Beenden","Sair","Quitter","終了","Выйти","Çık","الخروج","Ukončit","ออก","Keluar","Afsluiten","Thoát","나가기","退出","退出","Išeiti","Вийти","Iziet","बंद करें","Έξοδος","Sair"
"ReturnHome","Return Home","Torna a casa","Wróć do domu","Volver a casa","Nach Hause zurückkehren","Voltar para casa","Retourner à la maison","帰宅","Вернуться домой","Eve Dön","العودة للمنزل","Vrátit se domů","กลับบ้าน","Kembali ke rumah","Terug naar huis","Quay về nhà","집으로 돌아가기","返回家园","返回家園","Grįžti namo","Повернутися додому","Atgriezties mājās","घर लौटें","Επιστροφή Σπίτι","Voltar para casa"
"TraitorsWin","Traitors Win","I traditori vincono","Zdrajcy wygrywają","Los traidores ganan","Verräter gewinnen","Traidores ganham","Les traîtres gagnent","裏切り者が勝つ","Предатели выигрывают","Hainler Kazanır","الخونة يفوزون","Zrádci vyhrávají","คนทรยศชนะ","Pengkhianat menang","Verraders winnen","Kẻ phản bội thắng","배신자가 이김","叛徒赢了","叛徒贏了","Išdavikai laimėjo","Зрадники перемагають","Nodevēji uzvar","विश्वासघाती जीते","Οι Προδότες Κερδίζουν","Traidores vencem"
"ViewControls","View Controls","Visualizza Controlli","Pokaż sterowanie","Ver Controles","Steuerung anzeigen","Ver Controlos","Afficher les commandes","コントロールを表示","Управление","Kontrolleri Görüntüle","عرض التحكم","Zobrazit ovládání","ดูการควบคุม","Lihat Kontrol","Besturing bekijken","Xem điều khiển","컨트롤 보기","查看控制","查看控制","Valdymo peržiūra","Керування","Kontroles skats","नियंत्रण देखें","Δείτε τον έλεγχο","Visualizar controles"
"YOU SURVIVED","YOU SURVIVED","HAI SOPRAVVIVUTO","PRZEŻYŁEŚ","HAS SOBREVIVIDO","DU HAST ÜBERLEBT","VOCÊ SOBREVIVEU","VOUS AVEZ SURVÉCU","生き残った","ВЫ ВЫЖИЛИ","HAYATTA KALDIN","لقد نجوت","PŘEŽIL JSI","คุณรอดชีวิต","KAMU SELAMAT","JE HEBT OVERLEEFD","BẠN ĐÃ SỐNG SÓT","생존했습니다","你活下来了","你活下來了","Jūs išgyvenote","ВИ ВИЖИЛИ","Tu izdzīvoji","तुम बच गए","ΕΣΥ ΕΠΙΒΙΩΣΕΣ","VOCÊ SOBREVIVEU"
"CarrotsCollected","Carrots Collected","Carote Raccolte","Zebrane marchewki","Zanahorias Recogidas","Gesammelte Karotten","Cenouras Coletadas","Carottes Collectées","収集されたニンジン","Собранные моркови","Toplanan Havuçlar","جزر مجموعة","Sbírané mrkve","แครอทที่เก็บได้","Wortel yang Terkumpul","Verzamelde Wortelen","Cà rốt Đã Thu Thập","수집된 당근","收集的胡萝卜","收集的胡蘿蔔","Surinkti Morkai","Зібрані морквини","Ievāktie Burkāni","एकत्रित गाजर","Συλλεγμένα Καρότα","Cenouras Coletadas"
"MatchWon","Match Won","Partita Vinta","Mecz Wygrany","Partido Ganado","Spiel Gewonnen","Partida Ganha","Match Gagné","試合勝利","Матч Выигран","Maç Kazanıldı","مباراة فوز","Zápas Vyhrán","ชนะการแข่งขัน","Pertandingan Dimenangkan","Wedstrijd Gewonnen","Trận Đấu Thắng","승리한 경기","赢得比赛","贏得比賽","Laimėtas Mačas","Матч Виграно","Izspēle Uzvarēta","मैच जीता","Κέρδισε τον Αγώνα","Partida Vencida"
"Survived","Survived","Sopravvissuto","Przetrwałeś","Sobrevivido","Überlebt","Sobreviveu","Survécu","生存","Выжил","Hayatta Kaldı","نجا","Přežil","รอดชีวิต","Bertahan Hidup","Overleefd","Sống Sót","생존함","幸存","倖存","Išgyveno","Вижив","Izdzīvojis","उत्तीर्ण","Επιβίωσε","Sobreviveu"
"TasksCompleted","Tasks Completed","Compiti Completati","Zadania Ukończone","Tareas Completadas","Aufgaben Abgeschlossen","Tarefas Completadas","Tâches Accomplies","タスク完了","Задания Выполнены","Görevler Tamamlandı","المهام المكتملة","Úkoly Dokončeny","งานที่สำเร็จ","Tugas yang Diselesaikan","Taken Voltooid","Nhiệm vụ đã Hoàn thành","완료된 작업","任务完成","任務完成","Atlikti Užduotys","Завдання Виконані","Pabeigtie Uzdevumi","पूर्ण कार्य","Ολοκληρωμένες Εργασίες","Tarefas Concluídas"
"Total","Total","Totale","Łącznie","Total","Gesamt","Total","Total","合計","Итого","Toplam","المجموع","Celkem","รวม","Total","Totaal","Tổng cộng","총","总计","總計","Viso","Загалом","Kopā","कुल","Σύνολο","Total"
"Apple","Apple","Mela","Jabłko","Manzana","Apfel","Maçã","Pomme","りんご","Яблоко","Elma","تفاحة","Jablko","แอปเปิ้ล","Apel","Appel","Táo","사과","苹果","蘋果","Obuolys","Яблуко","Ābols","सेब","Μήλο","Maçã"
"Arcade Machine","Arcade Machine","Macchina arcade","Automat do gier","Máquina de arcade","Spielautomat","Máquina de arcade","Machine d'arcade","アーケードマシン","Игровой автомат","Arcade Makinesi","آلة ألعاب الفيديو","Herní automat","เครื่องเกมส์อาร์เคด","Mesin arcade","Arcadeautomaat","Máy trò chơi điện tử","아케이드 머신","街机","街機","Arcadinė mašina","Аркадна машина","Arcādes mašīna","वीडियो गेम मशीन","Μηχάνημα Αρκέιντ","Máquina de arcade"
"Berries","Berries","Bacche","Jagody","Bayas","Beeren","Frutos silvestres","Baies","ベリー","Ягоды","Yaban Meyveleri","توت","Bobule","ผลไม้ป่า","Buah beri","Bessen","Quả mâm xôi","베리","浆果","漿果","Uogos","Ягоди","Ogļi","बेरी","Φρούτα του δάσους","Frutas silvestres"
"Burrow","Burrow","Tana","Nora","Madriguera","Bau","Toca","Terrier","穴","Кротовая нора","Yuva","جحر","Nora","รูหนอน","Lubang","Hol","Hang","굴","洞穴","洞穴","Urvas","Нора","Ala","बिल","Φωλιά","Toca"
"Carrot","Carrot","Carota","Marchew","Zanahoria","Karotte","Cenoura","Carotte","にんじん","Морковь","Havuç","جزر","Mrkev","แครอท","Wortel","Wortel","Cà rốt","당근","胡萝卜","胡蘿蔔","Morka","Морква","Burkāns","गाजर","Καρότο","Cenoura"
"Color","Color","Colore","Kolor","Color","Farbe","Cor","Couleur","色","Цвет","Renk","لون","Barva","สี","Warna","Kleur","Màu sắc","색상","颜色","顏色","Spalva","Колір","Krāsa","रंग","Χρώμα","Cor"
"Corpse","Corpse","Cadavere","Trup","Cadáver","Leiche","Cadáver","Cadavre","死体","Труп","Ceset","جثة","Mrtvola","ศพ","Mayat","Lijk","Xác chết","시체","尸体","屍體","Lavonas","Труп","Līķis","शव","Πτώμα","Cadáver"
"EnterText...","Enter text...","Inserisci testo...","Wprowadź tekst...","Introducir texto...","Text eingeben...","Introduza texto...","Entrez du texte...","テキストを入力...","Введите текст...","Metin girin...","أدخل النص...","Zadejte text...","ป้อนข้อความ...","Masukkan teks...","Voer tekst in...","Nhập văn bản...","텍스트 입력...","输入文本...","輸入文字...","Įveskite tekstą...","Введіть текст...","Ievadiet tekstu...","पाठ दर्ज करें...","Εισάγετε κείμενο...","Digite o texto..."
"Escape","Escape","Fuga","Ucieczka","Huida","Flucht","Fuga","Évasion","逃走","Побег","Kaçış","هروب","Útěk","หนี","Pelarian","Ontsnapping","Thoát","탈출","逃脱","逃脫","Pabėgimas","Втеча","Bēgšana","भाग जाना","Διαφυγή","Fuga"
"Hat","Farmer's hat","Cappello da contadino","Kapelusz rolnika","Sombrero de granjero","Bauernhut","Chapéu de fazendeiro","Chapeau de fermier","農夫の帽子","Фермерская шляпа","Çiftçi şapkası","قبعة المزارع","Klobouk farmáře","หมวกชาวนา","Topi petani","Boerenhoed","Nón nông dân","농부의 모자","农夫的帽子","農夫的帽子","Ūkininko skrybėlė","Фермерський капелюх","Zemnieka cepure","किसान की टोपी","Καπέλο αγρότη","Chapéu de fazendeiro"
"Hatchet","Hatchet","Accetta","Siekierka","Hacha","Beil","Machadinha","Hachette","ハチェット","Топорик","Balta","فأس صغير","Sekyrka","ขวานขนาดเล็ก","Kapak kecil","Bijl","Rìu nhỏ","손도끼","小斧头","小斧頭","Kirvukas","Сокирка","Cirvis","कुल्हाड़ी","Τσεκούρι","Machadinha"
"IdentityRevealed","Identity Revealed","Identità Rivelata","Tożsamość Ujawniona","Identidad Revelada","Identität Enthüllt","Identidade Revelada","Identité Révélée","正体が明らかに","Личность Раскрыта","Kimlik Açığa Çıkarıldı","الهوية كشفت","Identita Odhalena","เปิดเผยตัวตน","Identitas Terungkap","Identiteit Onthuld","Danh tính được tiết lộ","신원 공개","身份揭晓","身份揭曉","Tapatybė Atskleista","Особу Розкрито","Identitāte Atklāta","पहचान का खुलासा","Αποκάλυψη Ταυτότητας","Identidade Revelada"
"Innocent","Innocent","Innocente","Niewinny","Inocente","Unschuldig","Inocente","Innocent","無実","Невиновный","Masum","بريء","Nevinný","บริสุทธิ์","Tidak bersalah","Onschuldig","Vô tội","무고한","无辜","無辜","Nekaltas","Невинний","Nevainīgs","निर्दोष","Αθώος","Inocente"
"Junk","Junk","Rottame","Śmieci","Basura","Schrott","Lixo","Déchets","ジャンク","Мусор","Çöp","خردة","Odpad","ขยะ","Sampah","Afval","Rác","쓰레기","垃圾","垃圾","Šlamstas","Відходи","Atkritumi","कचरा","Σκουπίδια","Lixo"
"Lever","Lever","Leva","Dźwignia","Palanca","Hebel","Alavanca","Levier","レバー","Рычаг","Kol","ذراع","Páka","คาน","Tuas","Hendel","Đòn bẩy","레버","杠杆","槓桿","Svirtis","Важіль","Svira","उत्तोलक","Μοχλός","Alavanca"
"LobbyVersionHigher","Mismatch: Lobby's game version outdated","Non corrispondenza: La versione del gioco del lobby è obsoleta","Niedopasowanie: Wersja gry lobby jest przestarzała","Desajuste: La versión del juego del lobby está desactualizada","Unstimmigkeit: Die Spielversion des Lobby ist veraltet","Incompatibilidade: A versão do jogo do lobby está desatualizada","Incompatibilité : La version du jeu du lobby est obsolète","不一致：ロビーのゲームバージョンが古いです","Несоответствие: Версия игры лобби устарела","Uyuşmazlık: Lobby'nin oyun sürümü güncel değil","عدم تطابق: نسخة اللعبة في اللوبي قديمة","Neshoda: Verze hry lobby je zastaralá","ไม่ตรงกัน: รุ่นเกมของห้องรอคอยล้าสมัย","Ketidakcocokan: Versi game lobby sudah usang","Mismatch: De spelversie van de lobby is verouderd","Không khớp: Phiên bản game của lobby đã lỗi thời","불일치: 로비의 게임 버전이 구식입니다","不匹配：大厅的游戏版本已过时","不符：大廳的遊戲版本已過時","Nesutapimas: Lobby žaidimo versija yra pasenusi","Невідповідність: Версія гри лобі застаріла","Nesakritība: Lobby spēles versija ir novecojusi","बेमेल: लॉबी का गेम संस्करण पुराना है","Ασυμφωνία: Η έκδοση του παιχνιδιού του lobby είναι παλιά","Incompatibilidade: A versão do jogo do lobby está desatualizada"
"LobbyVersionLower","Mismatch: Your game version is outdated","Non corrispondenza: la versione del tuo gioco è obsoleta","Niedopasowanie: Twoja wersja gry jest przestarzała","Desajuste: La versión de tu juego está desactualizada","Unstimmigkeit: Ihre Spielversion ist veraltet","Incompatibilidade: A versão do seu jogo está desatualizada","Incompatibilité : Votre version du jeu est obsolète","不一致：あなたのゲームのバージョンは古いです","Несоответствие: Ваша версия игры устарела","Uyuşmazlık: Oyun sürümünüz güncel değil","عدم تطابق: نسخة اللعبة الخاصة بك قديمة","Neshoda: Verze vaší hry je zastaralá","ไม่ตรงกัน: เวอร์ชันเกมของคุณล้าสมัย","Ketidakcocokan: Versi game Anda sudah usang","Mismatch: Uw spelversie is verouderd","Không khớp: Phiên bản game của bạn đã lỗi thời","불일치: 당신의 게임 버전은 구식입니다","不匹配：您的游戏版本已过时","不符：您的遊戲版本已過時","Nesutapimas: Jūsų žaidimo versija yra pasenusi","Невідповідність: Ваша версія гри застаріла","Nesakritība: Jūsu spēles versija ir novecojusi","बेमेल: आपका गेम संस्करण पुराना है","Ασυμφωνία: Η έκδοση του παιχνιδιού σας είναι παλιά","Incompatibilidade: A versão do seu jogo está desatualizada"
"NoSpade","Requires Spade","Richiede Vanga","Wymaga Łopaty","Requiere Pala","Schaufel benötigt","Requer Pá","Nécessite une Bêche","スコップが必要","Требуется Лопата","Kürek Gerektirir","يتطلب مجرفة","Vyžaduje Rýč","ต้องใช้พลั่ว","Membutuhkan Sekop","Schop Vereist","Cần Xẻng","삽 필요","需要铲子","需要鏟子","Reikalingas Kastuvas","Потрібна Лопата","Nepieciešams Lāpsta","स्पेड की आवश्यकता है","Απαιτεί Φτυάρι","Requer Pá"
"Open","Open","Apri","Otwórz","Abrir","Öffnen","Abrir","Ouvrir","開く","Открыть","Aç","فتح","Otevřít","เปิด","Buka","Openen","Mở","열기","打开","打開","Atidaryti","Відкрити","Atvērt","खोलें","Άνοιγμα","Abrir"
"Parsnip","Parsnip","Pastinaca","Pasternak","Chirivía","Pastinake","Chirivia","Panais","パースニップ","Пастернак","Kereviz","جزر بري","Paškvica","หัวไชเท้า","Parsnip","Pastinaak","Cà đuôi chồn","파스닙","防风","防風","Pastarnokas","Пастернак","Pastināks","मूली","Παστινάκι","Pastinaga"
"Party Settings","Server Settings","Impostazioni Party","Ustawienia serwera","Configuración de la fiesta","Party-Einstellungen","Configurações de festa","Paramètres du groupe","パーティ設定","Настройки сервера","Parti Ayarları","إعدادات الحفلة","Nastavení párty","การตั้งค่าปาร์ตี้","Pengaturan Pesta","Feestinstellingen","Cài đặt Tiệc","파티 설정","组队设置","組隊設定","Partijos nustatymai","Налаштування сервера","Partijas iestatījumi","पार्टी सेटिंग्स","Ρυθμίσεις Ομάδας","Configurações de Festa"
"Plank","Plank","Tavola","Deska","Tabla","Diele","Tábua","Planche","板","Доска","Tahta","لوح","Prkno","ไม้","Papan","Plank","Tấm gỗ","판자","木板","木板","Lenta","Дошка","Dēlis","लकड़ी की पट्टी","Σανίδα","Prancha"
"Planks","Planks","Tavole","Deski","Tablas","Dielen","Tábuas","Planches","板材","Доски","Tahtalar","ألواح","Prkna","ไม้หลายชิ้น","Papan-papan","Planken","Tấm gỗ","판자들","木板们","木板們","Lentos","Дошки","Dēļi","लकड़ी की पट्टियां","Σανίδες","Pranchas"
"Radish","Radish","Ravanello","Rzodkiewka","Rábano","Radieschen","Rabanete","Radis","ラディッシュ","Редис","Turp","فجل","Rředkvička","หัวลำไย","Lobak merah","Radijs","Củ cải đỏ","무","小萝卜","小蘿蔔","Ridikas","Редька","Redīss","मूली","Ραπανάκι","Rabanete"
"Skin","Skin","Pelle","Skórka","Piel","Haut","Pele","Peau","スキン","Скин","Deri","جلد","Kůže","สกิน","Kulit","Huid","Da","스킨","皮肤","皮膚","Oda","Шкіра","Āda","त्वचा","Δέρμα","Pele"
"Smash","Smash","Frantumare","Rozbić","Aplastar","Zertrümmern","Esmagar","Écraser","潰す","Разбить","Ezmek","تحطيم","Rozbít","ทุบ","Hancurkan","Verpletteren","Đập","부수다","粉碎","粉碎","Sutriuškinti","Розбити","Sasmalcināt","तोड़ना","Σπάω","Esmagar"
"Spade","Spade","Vanga","Łopata","Pala","Schaufel","Pá","Bêche","スコップ","Лопата","Kürek","مجرفة","Rýč","พลั่ว","Sekop","Schop","Xẻng","삽","铲子","鏟子","Kastuvas","Лопата","Lāpsta","स्पेड","Φτυάρι","Pá"
"Traitor","Traitor","Traditore","Zdrajca","Traidor","Verräter","Traidor","Traître","裏切り者","Предатель","Hain","خائن","Zrádce","ทรยศ","Pengkhianat","Verrader","Kẻ phản bội","배신자","叛徒","叛徒","Išdavikas","Зрадник","Nodevējs","विश्वासघाती","Προδότης","Traidor"
"Treasure","Treasure","Tesoro","Skarb","Tesoro","Schatz","Tesouro","Trésor","宝物","Сокровище","Hazine","كنز","Poklad","สมบัติ","Harta karun","Schat","Kho báu","보물","宝藏","寶藏","Lobis","Скарб","Dārgums","खजाना","Θησαυρός","Tesouro"
"Unload","Unload","Scarica","Wyładuj","Descargar","Entladen","Descarregar","Décharger","アンロード","Выгрузить","Boşalt","تفريغ","Vyložit","ถ่ายถาม","Membongkar","Lossen","Dỡ hàng","언로드","卸载","卸載","Iškrauti","Розвантажити","Izkrāt","अनलोड","Εκφόρτωση","Descarregar"
"Unlock","Unlock","Sblocca","Odblokuj","Desbloquear","Freischalten","Desbloquear","Déverrouiller","アンロック","Разблокировать","Kilidi Aç","فتح","Odemknout","ปลดล็อค","Membuka","Ontgrendelen","Mở Khóa","잠금 해제","解锁","解鎖","Atrakinti","Розблокувати","Atbloķēt","अनलॉक","Ξεκλείδωμα","Desbloquear"
"Vendor","Vendor","Venditore","Sprzedawca","Vendedor","Händler","Vendedor","Marchand","商人","Торговец","Satıcı","بائع","Prodejce","พ่อค้า","Penjual","Verkoper","Người bán hàng","상인","商贩","商販","Prekybininkas","Торговець","Tirgotājs","विक्रेता","Πωλητής","Vendedor"
"WheelBarrow","Wheelbarrow","Carriola","Taczka","Carretilla","Schubkarre","Carrinho de mão","Brouette","手押し車","Тачка","El arabası","عربة اليد","Tačka","รถเข็น","Gerobak","Kruiwagen","Xe cút kít","수레","手推车","手推車","Rankinė","Тачка","Rokas ratu rati","हाथगाड़ी","Χειρόβαρο","Carrinho de mão"
